character,accuracy,correct,total,percentage_%
159:'\x9f',0.13513513513513514,25,185,13.513513513513514
156:'\x9c',0.13978494623655913,26,186,13.978494623655912
157:'\x9d',0.17582417582417584,32,182,17.582417582417584
16:'\x10',0.1919191919191919,76,396,19.19191919191919
153:'\x99',0.1958762886597938,38,194,19.587628865979383
18:'\x12',0.2153846153846154,84,390,21.53846153846154
151:'\x97',0.22164948453608246,43,194,22.164948453608247
150:'\x96',0.23076923076923078,45,195,23.076923076923077
132:'\x84',0.2318840579710145,64,276,23.18840579710145
21:'\x15',0.23974082073434125,111,463,23.974082073434126
135:'\x87',0.2409090909090909,53,220,24.09090909090909
29:'\x1d',0.24235294117647058,103,425,24.235294117647058
154:'\x9a',0.24338624338624337,46,189,24.33862433862434
130:'\x82',0.24413145539906103,52,213,24.413145539906104
8:'\x08',0.25660377358490566,68,265,25.660377358490567
185:'┬╣',0.25699745547073793,101,393,25.699745547073793
175:'┬»',0.26804123711340205,104,388,26.804123711340207
173:'\xad',0.27860696517412936,112,402,27.860696517412936
124:'|',0.2793791574279379,126,451,27.93791574279379
179:'┬│',0.2827763496143959,110,389,28.277634961439592
7:'\x07',0.2982456140350877,85,285,29.82456140350877
140:'\x8c',0.3004484304932735,67,223,30.04484304932735
129:'\x81',0.3018867924528302,64,212,30.18867924528302
141:'\x8d',0.30303030303030304,50,165,30.303030303030305
149:'\x95',0.30454545454545456,67,220,30.454545454545457
170:'┬¬',0.30612244897959184,135,441,30.612244897959183
134:'\x86',0.32272727272727275,71,220,32.27272727272727
128:'\x80',0.3302752293577982,72,218,33.02752293577982
5:'\x05',0.3303834808259587,112,339,33.03834808259587
25:'\x19',0.33442088091353994,205,613,33.442088091353995
143:'\x8f',0.336734693877551,66,196,33.6734693877551
137:'\x89',0.3409090909090909,75,220,34.090909090909086
183:'┬Ę',0.34196891191709844,132,386,34.196891191709845
148:'\x94',0.3425196850393701,87,254,34.25196850393701
20:'\x14',0.34415584415584416,159,462,34.41558441558442
186:'┬║',0.34541062801932365,143,414,34.54106280193236
155:'\x9b',0.35106382978723405,66,188,35.1063829787234
136:'\x88',0.3547008547008547,83,234,35.47008547008547
108:'l',0.3595505617977528,160,445,35.95505617977528
133:'\x85',0.3611111111111111,91,252,36.11111111111111
142:'\x8e',0.3627450980392157,74,204,36.27450980392157
19:'\x13',0.36477987421383645,174,477,36.477987421383645
3:'\x03',0.3707165109034268,119,321,37.07165109034268
160:'\xa0',0.37401574803149606,95,254,37.40157480314961
131:'\x83',0.3915094339622642,83,212,39.15094339622642
138:'\x8a',0.391705069124424,85,217,39.1705069124424
23:'\x17',0.3919308357348703,136,347,39.19308357348703
31:'\x1f',0.39490445859872614,124,314,39.490445859872615
115:'s',0.3957345971563981,167,422,39.57345971563981
147:'\x93',0.39920948616600793,101,253,39.920948616600796
145:'\x91',0.40213523131672596,113,281,40.213523131672595
139:'\x8b',0.4025974025974026,62,154,40.25974025974026
178:'┬▓',0.4052757793764988,169,417,40.52757793764988
122:'z',0.4113785557986871,188,457,41.13785557986871
0:'\x00',0.4129692832764505,121,293,41.29692832764505
26:'\x1a',0.4157119476268412,254,611,41.57119476268412
22:'\x16',0.4169184290030212,138,331,41.69184290030212
10:'\n',0.4274193548387097,106,248,42.74193548387097
127:'\x7f',0.42913385826771655,109,254,42.91338582677165
158:'\x9e',0.43956043956043955,80,182,43.956043956043956
144:'\x90',0.4404332129963899,122,277,44.04332129963899
4:'\x04',0.4423076923076923,138,312,44.230769230769226
111:'o',0.4437869822485207,225,507,44.37869822485207
1:'\x01',0.45146726862302483,200,443,45.146726862302486
11:'\x0b',0.452,113,250,45.2
105:'i',0.452914798206278,202,446,45.2914798206278
27:'\x1b',0.45454545454545453,170,374,45.45454545454545
118:'v',0.45681818181818185,201,440,45.68181818181819
"39:""'""",0.46750524109014674,223,477,46.75052410901468
99:'c',0.4679245283018868,248,530,46.79245283018868
152:'\x98',0.4734042553191489,89,188,47.340425531914896
117:'u',0.47555555555555556,214,450,47.55555555555556
208:'├É',0.47928994082840237,162,338,47.928994082840234
112:'p',0.4816414686825054,223,463,48.16414686825054
13:'\r',0.4830508474576271,114,236,48.30508474576271
6:'\x06',0.48306997742663654,214,443,48.306997742663654
12:'\x0c',0.484375,155,320,48.4375
14:'\x0e',0.48507462686567165,130,268,48.507462686567166
30:'\x1e',0.4862068965517241,282,580,48.62068965517241
120:'x',0.4973730297723292,284,571,49.73730297723292
119:'w',0.497737556561086,220,442,49.7737556561086
244:'├┤',0.4986072423398329,179,359,49.86072423398329
146:'\x92',0.5,204,408,50.0
9:'\t',0.5,124,248,50.0
217:'├Ö',0.500998003992016,251,501,50.0998003992016
227:'├Ż',0.5043227665706052,175,347,50.43227665706051
228:'├ż',0.5072886297376094,174,343,50.72886297376093
103:'g',0.5123595505617977,228,445,51.23595505617977
201:'├ē',0.5142276422764228,253,492,51.42276422764228
229:'├ź',0.5175438596491229,177,342,51.75438596491229
176:'┬░',0.5177304964539007,219,423,51.77304964539007
211:'├ō',0.5189504373177842,178,343,51.89504373177842
121:'y',0.52,234,450,52.0
213:'├Ģ',0.5225225225225225,174,333,52.25225225225225
225:'├Ī',0.5249266862170088,179,341,52.49266862170088
169:'┬®',0.5310344827586206,231,435,53.103448275862064
230:'├”',0.532133676092545,207,389,53.213367609254504
212:'├ö',0.5347432024169184,177,331,53.47432024169184
58:':',0.5351270553064275,358,669,53.51270553064275
191:'┬┐',0.5366492146596858,205,382,53.66492146596858
28:'\x1c',0.5367483296213809,241,449,53.67483296213808
210:'├Æ',0.5427728613569321,184,339,54.27728613569322
255:'├┐',0.5443786982248521,92,169,54.437869822485204
238:'├«',0.5451977401129944,193,354,54.51977401129944
248:'├Ė',0.5462686567164179,183,335,54.62686567164179
239:'├»',0.5480225988700564,194,354,54.80225988700565
224:'├Ā',0.5481049562682215,188,343,54.81049562682215
245:'├Ą',0.5517241379310345,176,319,55.172413793103445
98:'b',0.5520833333333334,265,480,55.208333333333336
207:'├Å',0.5558739255014327,194,349,55.587392550143264
242:'├▓',0.5561097256857855,223,401,55.61097256857855
249:'├╣',0.5565476190476191,187,336,55.654761904761905
113:'q',0.5570469798657718,249,447,55.70469798657718
206:'├Ä',0.5609065155807366,198,353,56.09065155807366
166:'┬”',0.5614035087719298,224,399,56.14035087719298
197:'├ģ',0.5640326975476839,207,367,56.403269754768395
234:'├¬',0.5662983425414365,205,362,56.62983425414365
205:'├Ź',0.5678670360110804,205,361,56.78670360110804
196:'├ä',0.5693430656934306,234,411,56.934306569343065
223:'├¤',0.5705882352941176,194,340,57.05882352941176
184:'┬Ė',0.571072319201995,229,401,57.107231920199496
235:'├½',0.5726495726495726,201,351,57.26495726495726
241:'├▒',0.5730994152046783,196,342,57.30994152046783
214:'├¢',0.5747126436781609,200,348,57.47126436781609
162:'┬ó',0.5753424657534246,210,365,57.534246575342465
97:'a',0.5771513353115727,389,674,57.71513353115727
109:'m',0.5794392523364486,248,428,57.943925233644855
32:' ',0.5802197802197803,264,455,58.02197802197803
189:'┬Į',0.5852417302798982,230,393,58.524173027989825
231:'├¦',0.5859154929577465,208,355,58.59154929577465
215:'├Ś',0.5870206489675516,199,339,58.70206489675516
232:'├©',0.5932203389830508,210,354,59.32203389830508
116:'t',0.594,297,500,59.4
246:'├Č',0.595166163141994,197,331,59.516616314199396
226:'├ó',0.5953079178885631,203,341,59.530791788856305
253:'├Į',0.6005509641873278,218,363,60.05509641873278
203:'├ŗ',0.6020408163265306,236,392,60.204081632653065
161:'┬Ī',0.6021739130434782,277,460,60.21739130434782
181:'┬Ą',0.604221635883905,229,379,60.4221635883905
165:'┬ź',0.6043689320388349,249,412,60.43689320388349
251:'├╗',0.6060606060606061,220,363,60.60606060606061
163:'┬Ż',0.6065217391304348,279,460,60.652173913043484
220:'├£',0.6069246435845214,298,491,60.692464358452135
218:'├Ü',0.6081632653061224,298,490,60.816326530612244
237:'├Ł',0.6090651558073654,215,353,60.90651558073654
195:'├ā',0.609375,234,384,60.9375
102:'f',0.610204081632653,299,490,61.0204081632653
243:'├│',0.6109660574412533,234,383,61.096605744125334
254:'├Š',0.611731843575419,219,358,61.1731843575419
174:'┬«',0.6132315521628499,241,393,61.32315521628499
110:'n',0.6138392857142857,275,448,61.38392857142857
188:'┬╝',0.6148796498905909,281,457,61.48796498905909
167:'┬¦',0.6162528216704289,273,443,61.6252821670429
194:'├é',0.616580310880829,238,386,61.6580310880829
63:'?',0.6175213675213675,289,468,61.75213675213676
182:'┬Č',0.6181818181818182,238,385,61.81818181818181
222:'├×',0.6183431952662722,209,338,61.834319526627226
233:'├®',0.6186440677966102,219,354,61.86440677966102
106:'j',0.6199575371549894,292,471,61.995753715498935
236:'├¼',0.6203966005665722,219,353,62.03966005665722
219:'├ø',0.6212765957446809,292,470,62.12765957446808
204:'├ī',0.6220472440944882,237,381,62.20472440944882
64:'@',0.623015873015873,314,504,62.301587301587304
240:'├░',0.6239067055393586,214,343,62.390670553935855
200:'├ł',0.624,234,375,62.4
126:'~',0.627177700348432,360,574,62.7177700348432
250:'├║',0.628808864265928,227,361,62.880886426592795
45:'-',0.6289381563593932,539,857,62.89381563593932
180:'┬┤',0.6303797468354431,249,395,63.037974683544306
79:'O',0.6349809885931559,501,789,63.49809885931559
17:'\x11',0.6363636363636364,266,418,63.63636363636363
15:'\x0f',0.6400966183574879,265,414,64.00966183574879
192:'├Ć',0.6410788381742739,309,482,64.10788381742739
114:'r',0.6425233644859814,275,428,64.25233644859813
202:'├Ŗ',0.6442687747035574,326,506,64.42687747035573
171:'┬½',0.6452328159645233,291,451,64.52328159645234
24:'\x18',0.6482213438735178,328,506,64.82213438735178
104:'h',0.6490872210953347,320,493,64.90872210953347
91:'[',0.6511194029850746,349,536,65.11194029850746
193:'├ü',0.6512820512820513,254,390,65.12820512820512
164:'┬ż',0.65311004784689,273,418,65.311004784689
190:'┬Š',0.6542553191489362,246,376,65.42553191489363
168:'┬©',0.6551724137931034,285,435,65.51724137931035
61:'=',0.6625,318,480,66.25
59:';',0.664488017429194,305,459,66.4488017429194
216:'├ś',0.6653620352250489,340,511,66.53620352250489
247:'├Ę',0.6696428571428571,225,336,66.96428571428571
"44:','",0.6721698113207547,570,848,67.21698113207547
221:'├Ø',0.6779661016949152,320,472,67.79661016949152
125:'}',0.679144385026738,381,561,67.9144385026738
101:'e',0.6868044515103339,432,629,68.68044515103338
2:'\x02',0.6870109546165885,439,639,68.70109546165885
252:'├╝',0.6893732970027248,253,367,68.93732970027247
95:'_',0.6923076923076923,333,481,69.23076923076923
172:'┬¼',0.6935201401050788,396,571,69.35201401050787
46:'.',0.6950276243093922,629,905,69.50276243093923
123:'{',0.6977225672877847,337,483,69.77225672877847
187:'┬╗',0.6997455470737913,275,393,69.97455470737913
37:'%',0.7134502923976608,488,684,71.34502923976608
"34:'""'",0.7144288577154309,713,998,71.44288577154309
107:'k',0.7145922746781116,333,466,71.45922746781116
93:']',0.7157676348547718,345,482,71.57676348547717
66:'B',0.7179253867151957,789,1099,71.79253867151957
199:'├ć',0.7196969696969697,380,528,71.96969696969697
92:'\\',0.7210365853658537,473,656,72.10365853658537
177:'┬▒',0.7248157248157249,295,407,72.48157248157248
73:'I',0.7321624588364435,667,911,73.21624588364435
96:'`',0.7350199733688415,552,751,73.50199733688414
87:'W',0.7435294117647059,632,850,74.3529411764706
68:'D',0.7465437788018433,810,1085,74.65437788018433
88:'X',0.7517241379310344,654,870,75.17241379310344
100:'d',0.7530674846625767,491,652,75.30674846625767
86:'V',0.7534403669724771,657,872,75.3440366972477
198:'├å',0.7550644567219152,410,543,75.50644567219152
71:'G',0.7605042016806722,724,952,76.05042016806722
81:'Q',0.7639680729760547,670,877,76.39680729760548
209:'├æ',0.7644787644787645,396,518,76.44787644787645
67:'C',0.7650727650727651,736,962,76.50727650727652
69:'E',0.7670514165792235,731,953,76.70514165792235
38:'&',0.7678571428571429,688,896,76.78571428571429
85:'U',0.7679671457905544,748,974,76.79671457905543
83:'S',0.7700091996320148,837,1087,77.00091996320147
90:'Z',0.7722095671981777,678,878,77.22095671981776
80:'P',0.7797164667393675,715,917,77.97164667393675
65:'A',0.7862129144851658,901,1146,78.62129144851659
77:'M',0.7932790224032586,779,982,79.32790224032587
35:'#',0.7952488687782805,703,884,79.52488687782805
33:'!',0.7967244701348748,827,1038,79.67244701348748
84:'T',0.8056818181818182,709,880,80.56818181818181
62:'>',0.806607574536664,1001,1241,80.66075745366639
89:'Y',0.8088235294117647,715,884,80.88235294117648
72:'H',0.8095684803001876,863,1066,80.95684803001876
94:'^',0.8105548037889039,599,739,81.0554803788904
47:'/',0.8139079333986288,831,1021,81.39079333986288
76:'L',0.8179800221975583,737,901,81.79800221975583
75:'K',0.8185890257558791,731,893,81.8589025755879
36:'$',0.8303487276154571,881,1061,83.03487276154571
42:'*',0.8317757009345794,712,856,83.17757009345794
40:'(',0.8360091743119266,729,872,83.60091743119266
74:'J',0.8404371584699454,769,915,84.04371584699454
70:'F',0.8464328899637243,700,827,84.64328899637243
82:'R',0.8604427333974976,894,1039,86.04427333974975
78:'N',0.8693467336683417,865,995,86.93467336683418
41:')',0.8758542141230068,769,878,87.58542141230068
43:'+',0.8916876574307305,1062,1191,89.16876574307305
60:'<',0.9097120546608102,1864,2049,90.97120546608102
56:'8',0.9123487788176216,3997,4381,91.23487788176216
57:'9',0.9149154279856484,3570,3902,91.49154279856484
53:'5',0.9250508130081301,3641,3936,92.505081300813
51:'3',0.9252058554437328,4045,4372,92.52058554437328
55:'7',0.9316946959896507,3601,3865,93.16946959896507
50:'2',0.9357778719796523,4415,4718,93.57778719796524
49:'1',0.9414642100114137,5774,6133,94.14642100114136
52:'4',0.9484855184611983,4290,4523,94.84855184611983
48:'0',0.9515593895155939,5736,6028,95.15593895155939
54:'6',0.9593736775285654,4534,4726,95.93736775285655
